,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
1027,2017-11-01,shot,27,anniston,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,anniston,AL,anniston city,29681,anniston,Anniston city,0,0.52,0,0.01,0.03,100,Anniston city,79.8
4487,2014-04-22,Gunshot,53,anniston,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anniston,AL,anniston city,29681,anniston,Anniston city,0,0.52,0,0.01,0.03,100,Anniston city,79.8
3140,2015-08-23,shot,36,arab,AL,attack,fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,arab,AL,arab city,40292,arab,Arab city,0.01,0,0.01,0.01,0.02,99.69999999999999,Arab city,87.6
4436,2014-05-12,Gunshot,39,ashford,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,ashford,AL,ashford town,42704,ashford,Ashford town,0.01,0.2,0,0,0.01,99.7,Ashford town,83.5
2618,2016-02-28,shot,41,ashville,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,ashville,AL,ashville city,40547,ashville,Ashville city,0.01,0.2,0,0,0.04,100.39999999999999,Ashville city,77.6
1477,2017-05-12,shot,35,baldwin county,AL,no_attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,baldwin county,,,,,,,,,,,,,
704,2018-03-05,shot,65,barnwell,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,barnwell,,,22672,,,0.45,0.52,0,0.02,0.01,,,79.9
3603,2015-03-11,shot,54,bay minette,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,bay minette,AL,bay minette city,31576,bay minette,Bay Minette city,0.01,0.36,0.01,0.01,0.02,99.29999999999998,Bay Minette city,79.1
886,2017-12-28,shot,37,birmingham,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
1065,2017-10-19,shot and Tasered,38,birmingham,AL,no_attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
