,date,age,city,state,threat_level,flee,body_camera,gender,race,armed,signs_of_mental_illness,Age_range,daysofweek,year,Median Income,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs,poverty_rate,month
685,2014-11-19,29,memphis,TN,threat,not_fleeing,False,Female,B,unarmed,False,20 - 35,Wednesday,2014,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,November
686,2013-07-01,33,memphis,TN,threat,not_fleeing,False,Male,W,armed,True,20 - 35,Monday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,July
687,2013-06-04,32,memphis,TN,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Tuesday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,June
688,2013-04-23,28,memphis,TN,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Tuesday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,April
689,2013-04-10,47,memphis,TN,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Wednesday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,April
690,2013-03-27,42,memphis,TN,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Wednesday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,March
691,2013-03-10,63,memphis,TN,threat,not_fleeing,False,Male,B,unarmed,True,50 - 64,Sunday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,March
692,2013-01-17,24,memphis,TN,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Thursday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,January
693,2013-01-11,67,memphis,TN,threat,not_fleeing,False,Male,W,armed,True,Over 65,Friday,2013,36445.0,0.29,0.63,0.0,0.02,0.06,83.7,27.6,January
694,2018-01-28,45,london,KY,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Sunday,2018,31178.0,0.95,0.02,0.0,0.01,0.02,76.4,27.5,January
695,2017-02-24,30,london,KY,threat,not_fleeing,False,Male,W,armed,True,20 - 35,Friday,2017,31178.0,0.95,0.02,0.0,0.01,0.02,76.4,27.5,February
696,2018-05-07,63,johnston,SC,threat,flee,False,Male,B,unarmed,False,50 - 64,Monday,2018,31250.0,0.36,0.62,0.0,0.0,0.02,70.0,27.5,May
697,2013-07-03,34,malvern,AR,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Wednesday,2013,26667.0,0.66,0.3,0.0,0.0,0.04,83.9,27.4,July
698,2015-10-21,35,calexico,CA,no_threat,flee,False,Male,H,armed,False,20 - 35,Wednesday,2015,34742.0,0.38,0.0,0.0,0.01,0.61,56.6,27.4,October
699,2014-03-14,60,lake city,FL,threat,not_fleeing,False,Male,W,armed,False,50 - 64,Friday,2014,33866.0,0.56,0.37,0.0,0.02,0.05,87.9,27.4,March
700,2013-05-09,58,lake city,FL,threat,not_fleeing,False,Male,H,armed,False,50 - 64,Thursday,2013,33866.0,0.56,0.37,0.0,0.02,0.05,87.9,27.4,May
701,2018-12-18,24,terre haute,IN,threat,flee,False,Male,W,armed,False,20 - 35,Tuesday,2018,31817.0,0.85,0.11,0.0,0.01,0.03,84.4,27.4,December
702,2018-03-06,36,terre haute,IN,threat,not_fleeing,False,Male,W,armed,True,36 - 49,Tuesday,2018,31817.0,0.85,0.11,0.0,0.01,0.03,84.4,27.4,March
703,2015-02-26,31,terre haute,IN,no_threat,not_fleeing,False,Male,W,armed,False,20 - 35,Thursday,2015,31817.0,0.85,0.11,0.0,0.01,0.03,84.4,27.4,February
704,2016-03-15,34,russellville,KY,no_threat,flee,False,Male,W,armed,False,20 - 35,Tuesday,2016,30743.0,0.8,0.16,0.0,0.0,0.04,74.3,27.4,March
705,2015-03-03,25,salisbury,MD,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Tuesday,2015,37705.0,0.56,0.34,0.0,0.03,0.07,85.6,27.4,March
706,2014-03-18,32,salisbury,MD,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Tuesday,2014,37705.0,0.56,0.34,0.0,0.03,0.07,85.6,27.4,March
707,2014-02-05,25,salisbury,MD,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2014,37705.0,0.56,0.34,0.0,0.03,0.07,85.6,27.4,February
708,2017-06-26,36,rowe,NM,threat,not_fleeing,False,Male,H,armed,True,36 - 49,Monday,2017,46250.0,0.44,0.01,0.02,0.0,0.53,96.3,27.4,June
709,2017-09-22,44,brooksville,FL,threat,flee,False,Male,W,armed,True,36 - 49,Friday,2017,30392.0,0.75,0.18,0.0,0.01,0.06,82.2,27.3,September
710,2017-02-20,26,brooksville,FL,threat,not_fleeing,False,Male,W,armed,True,20 - 35,Monday,2017,30392.0,0.75,0.18,0.0,0.01,0.06,82.2,27.3,February
711,2015-12-22,29,brooksville,FL,no_threat,flee,False,Male,W,armed,False,20 - 35,Tuesday,2015,30392.0,0.75,0.18,0.0,0.01,0.06,82.2,27.3,December
712,2014-05-08,69,brooksville,FL,threat,not_fleeing,False,Male,W,armed,False,Over 65,Thursday,2014,30392.0,0.75,0.18,0.0,0.01,0.06,82.2,27.3,May
713,2017-03-24,26,cisco,TX,no_threat,flee,False,Male,H,armed,False,20 - 35,Friday,2017,31009.0,0.84,0.03,0.01,0.0,0.12,80.7,27.3,March
714,2018-12-28,35,port arthur,TX,no_threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Friday,2018,32863.0,0.32,0.36,0.01,0.05,0.26,71.9,27.3,December
715,2016-06-09,52,port arthur,TX,no_threat,flee,False,Male,B,unarmed,False,50 - 64,Thursday,2016,32863.0,0.32,0.36,0.01,0.05,0.26,71.9,27.3,June
716,2014-03-27,19,port arthur,TX,threat,not_fleeing,False,Male,H,unarmed,False,13 - 19,Thursday,2014,32863.0,0.32,0.36,0.01,0.05,0.26,71.9,27.3,March
717,2013-11-01,50,port arthur,TX,threat,not_fleeing,False,Female,H,armed,True,50 - 64,Friday,2013,32863.0,0.32,0.36,0.01,0.05,0.26,71.9,27.3,November
718,2018-11-21,48,talladega,AL,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Wednesday,2018,29482.0,0.49,0.48,0.0,0.0,0.03,73.9,27.2,November
719,2018-09-24,42,east los angeles,CA,threat,not_fleeing,False,Male,H,armed,False,36 - 49,Monday,2018,38766.0,0.33,0.0,0.01,0.01,0.65,46.7,27.2,September
720,2014-11-16,26,east los angeles,CA,threat,not_fleeing,False,Male,H,unarmed,False,20 - 35,Sunday,2014,38766.0,0.33,0.0,0.01,0.01,0.65,46.7,27.2,November
721,2014-11-16,57,east los angeles,CA,threat,not_fleeing,False,Male,H,unarmed,False,50 - 64,Sunday,2014,38766.0,0.33,0.0,0.01,0.01,0.65,46.7,27.2,November
722,2017-08-21,51,steubenville,OH,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Monday,2017,33179.0,0.81,0.16,0.0,0.01,0.02,87.9,27.2,August
723,2015-11-09,20,spartanburg,SC,threat,flee,False,Male,B,unarmed,False,20 - 35,Monday,2015,35126.0,0.46,0.49,0.0,0.02,0.03,82.3,27.2,November
724,2015-04-15,41,spartanburg,SC,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Wednesday,2015,35126.0,0.46,0.49,0.0,0.02,0.03,82.3,27.2,April
725,2016-07-26,50,pine river,WI,threat,flee,False,Male,W,armed,False,50 - 64,Tuesday,2016,50411.4,0.65,0.12,0.01,0.03,0.09,89.6,27.2,July
726,2014-05-08,41,dotsero,CO,threat,not_fleeing,False,Male,H,armed,False,36 - 49,Thursday,2014,39813.0,0.98,0.01,0.0,0.01,0.6,46.0,27.1,May
727,2017-10-01,24,hialeah,FL,threat,flee,False,Male,H,armed,False,20 - 35,Sunday,2017,29249.0,0.49,0.01,0.0,0.0,0.5,70.7,27.1,October
728,2014-10-27,44,hialeah,FL,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Monday,2014,29249.0,0.49,0.01,0.0,0.0,0.5,70.7,27.1,October
729,2014-02-27,27,hialeah,FL,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Thursday,2014,29249.0,0.49,0.01,0.0,0.0,0.5,70.7,27.1,February
730,2013-10-27,51,hialeah,FL,threat,not_fleeing,False,Male,H,armed,False,50 - 64,Sunday,2013,29249.0,0.49,0.01,0.0,0.0,0.5,70.7,27.1,October
731,2013-07-27,42,hialeah,FL,threat,not_fleeing,False,Male,H,armed,False,36 - 49,Saturday,2013,29249.0,0.49,0.01,0.0,0.0,0.5,70.7,27.1,July
732,2013-01-08,24,lake worth,FL,threat,not_fleeing,False,Female,W,armed,False,20 - 35,Tuesday,2013,36739.0,0.48,0.16,0.04,0.01,0.31,70.6,27.1,January
733,2017-08-27,34,sharpsburg,KY,threat,flee,False,Male,W,armed,False,20 - 35,Sunday,2017,25000.0,0.83,0.15,0.0,0.0,0.02,63.2,27.1,August
734,2017-06-21,33,nevada,MO,no_threat,flee,False,Male,W,armed,False,20 - 35,Wednesday,2017,28683.0,0.95,0.01,0.01,0.01,0.02,85.6,27.1,June
735,2018-12-12,29,st. louis,MO,threat,flee,False,Male,B,unarmed,False,20 - 35,Wednesday,2018,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,December
736,2018-10-25,28,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Thursday,2018,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
737,2018-02-26,40,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Monday,2018,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
738,2017-11-23,17,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,13 - 19,Thursday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,November
